dataset_size_MB,numObjs,numCoords,numClusters,block_size,impl,memory,t_alloc_ms,t_loop_total_ms,t_loop_avg_ms,t_loop_min_ms,t_loop_max_ms,t_gpu_ms
1024.0,4194304,32,64,32,GPU KMeans (managed),Managed,,0.854347,0.085435,0.012615,0.189067,0.302093
1024.0,4194304,32,64,48,GPU KMeans (managed),Managed,,0.806933,0.080693,0.01011,0.159342,0.249794
1024.0,4194304,32,64,64,GPU KMeans (managed),Managed,,0.794999,0.0795,0.008429,0.154836,0.230269
1024.0,4194304,32,64,128,GPU KMeans (managed),Managed,,0.799928,0.079993,0.009103,0.156759,0.239623
1024.0,4194304,32,64,238,GPU KMeans (managed),Managed,,0.837085,0.083709,0.012782,0.159643,0.275297
1024.0,4194304,32,64,512,GPU KMeans (managed),Managed,,0.830624,0.083062,0.012889,0.149785,0.267056
1024.0,4194304,32,64,1024,GPU KMeans (managed),Managed,,0.850023,0.085002,0.011784,0.170184,0.281383
1024.0,4194304,32,64,32,GPU KMeans (system alloc),System,,9268.260002,92.6826,13.607979,387.279987,381.443262
1024.0,4194304,32,64,48,GPU KMeans (system alloc),System,,9074.239731,90.742397,10.844946,394.867897,359.580994
1024.0,4194304,32,64,64,GPU KMeans (system alloc),System,,9013.700485,90.137005,9.487867,398.057938,349.759102
1024.0,4194304,32,64,128,GPU KMeans (system alloc),System,,9073.629379,90.736294,11.241913,391.422987,360.512018
1024.0,4194304,32,64,238,GPU KMeans (system alloc),System,,10813.059807,108.130598,13.025045,408.457994,527.676821
1024.0,4194304,32,64,512,GPU KMeans (system alloc),System,,11124.880314,111.248803,12.476921,410.456896,566.216469
1024.0,4194304,32,64,1024,GPU KMeans (system alloc),System,,10918.159485,109.181595,10.38909,433.66313,542.008162
1024.0,4194304,32,64,32,GPU KMeans (explicit),Explicit,,98.555088,9.855509,9.743929,10.471106,9.826684
1024.0,4194304,32,64,48,GPU KMeans (explicit),Explicit,,79.417944,7.941794,7.763147,9.415865,7.92346
1024.0,4194304,32,64,64,GPU KMeans (explicit),Explicit,,77.162981,7.716298,7.507086,9.382963,7.697654
1024.0,4194304,32,64,128,GPU KMeans (explicit),Explicit,,100.802898,10.08029,9.752989,11.816978,10.062003
1024.0,4194304,32,64,238,GPU KMeans (explicit),Explicit,,129.513979,12.951398,12.780905,13.772964,12.933397
1024.0,4194304,32,64,512,GPU KMeans (explicit),Explicit,,139.699936,13.969994,13.738155,14.705896,13.950682
1024.0,4194304,32,64,1024,GPU KMeans (explicit),Explicit,,115.771055,11.577106,11.265039,12.766123,11.558843
